,feature,brh_index
0, Larry Mullen Jr.,11.0
1,"""Drugs"" Delaney",11.0
2,"""Hickory"" / The Tin Man",11.0
3,"""Hunk"" / The Scarecrow",11.0
4,"""Whistling"" John Shaw",9.0
5,"""Zeke"" / The Cowardly Lion",11.0
6,'Calamity' Jane Bodine,9.0
7,'Chop-Top' Sawyer,11.0
8,'Groot' Nadine,11.0
9,'Joliet' Jake Blues (as Jake),11.0
10,'Juicy' Judy Gonzalez,11.0
11,'Jumpin' Joe Gastineau,9.0
12,'Mac' George Michale,11.0
13,'Maxim' de Winter,11.0
14,'Milky',11.0
15,'Mooney' Lynn,11.0
16,'Mr. Pappy',11.0
17,'Nails' Kilpatrick,11.0
18,'Ratso' Rizzo,11.0
19,'Reverend' Roy Foltrigg,11.0
20,'Smilin' Jack Johannson,9.0
21,'Sport' Matthew,11.0
22,'Stitch' (voice),11.0
23,(Det) Roland Castlebeck,11.0
24,(voice),11.0
25,1 (voice),11.0
26,100 Bares,10.0
27,1492 Pictures,10.0
28,1818,11.0
29,19 Entertainment,9.0
30,1WO,11.0
31,1st Bully,9.0
32,1st Lt. Terence Embry,11.0
33,1st Lt. Tom Pullings,11.0
34,1st Sgt. Edward Welsh,11.0
35,1st Sgt. Milton Warden,11.0
36,2 (voice),11.0
37,21 Laps Entertainment,11.0
38,26 Films,11.0
39,2929 Productions,11.0
40,2WO,11.0
41,2nd Bully,9.0
42,2nd Lt. Jack Geoghegan,11.0
43,2nd Lt. Ross Pennell,11.0
44,2nd Staff Sergeant Aubrey Stamps,9.0
45,3 Arts Entertainment,11.0
46,360 Pictures,11.0
47,3D Entertainment,11.0
48,3Mark Entertainment,9.0
49,40 Acres & A Mule Filmworks,10.0
50,406,11.0
51,5 (voice),11.0
52,50 Cent,9.0
53,6 (voice),11.0
54,7 (voice),11.0
55,A Band Apart,11.0
56,A Bigger Boat,11.0
57,A Loopy Production LLC,9.0
58,A. Kitman Ho,8.0
59,A.C.,9.0
60,A.J.,10.0
61,A.J. 'The Reverend' Shepherd,11.0
62,A.J. Buckley,9.0
63,A.J. Cook,11.0
64,A.J. Dix,10.0
65,A.J. Frost,11.0
66,A.J. MacInerney,11.0
67,A.J. Marley,9.0
68,A.J. Mercker,9.0
69,A.J. Ross,9.0
70,ABC Pictures,9.0
71,AJ,11.0
72,AJ Cross,11.0
73,ASAC Dakota Whitney,11.0
74,AVCO Embassy Pictures,10.0
75,Aaliyah,10.0
76,Aamir Khan,11.0
77,Aang,11.0
78,Aap,11.0
79,Aaran Thomas,11.0
80,Aardman Animations,10.0
81,Aaron,10.0
82,Aaron Auch,11.0
83,Aaron Boyd,11.0
84,Aaron Cross,11.0
85,Aaron Eckhart,19.0
86,Aaron Embrey,11.0
87,Aaron Green,11.0
88,Aaron Hallam,9.0
89,Aaron Kaufman,10.0
90,Aaron Kwok,11.0
91,Aaron L. Gilbert,11.0
92,Aaron Mazzolini,11.0
93,Aaron Meyerson,9.0
94,Aaron Paul,9.0
95,Aaron Rapaport,9.0
96,Aaron Ruell,11.0
97,Aaron Russo,10.0
98,Aaron Ryder,10.0
99,Aaron Seltzer,9.0
100,Aaron Shuster,11.0
101,Aaron Stanford,10.0
102,Aaron Taylor-Johnson,9.0
103,Aaron Thibadeaux,11.0
104,Aaron Wiseberger,9.0
105,Aaron Wolff,11.0
106,Aaron Yoo,10.0
107,Aasif Mandvi,9.0
108,Abbey,11.0
109,Abbey Lee,9.0
110,Abbie Cornish,10.0
111,Abbie Halpert,11.0
112,Abbie Reynolds,9.0
113,Abby,12.0
114,Abby Beam,11.0
115,Abby Brody,11.0
116,Abby Durrell,9.0
117,Abby Laramie,9.0
118,Abby Mallard (voice),11.0
119,Abby McDeere,11.0
120,Abby Tierney,11.0
121,Abby Yates,11.0
122,Abbé Faria,11.0
123,Abdu-Hamdi,9.0
124,Abdul Salis,9.0
125,Abe,11.0
126,Abe Sapien,11.0
127,Abel Ferrara,9.0
128,Abel Morales,9.0
129,Abel Turner,11.0
130,"Abernathy (segment ""Death Proof"")",9.0
131,Abhishek Bachchan,11.0
132,Abigail,11.0
133,Abigail Bianca,11.0
134,Abigail Breslin,9.0
135,Abigail Chase,11.0
136,Abigail Hargrove,11.0
137,Abigail Salmon,11.0
138,Abigail Whistler,11.0
139,Abishag,11.0
140,Abner Dillon,11.0
141,Abou Fatma,9.0
142,Abraham,11.0
143,Abraham 'Cousin Avi' Denovitz,11.0
144,Abraham Lincoln,10.0
145,Abraham Quintanilla,11.0
146,Abu the Monkey (voice),11.0
147,Abuela Irene,11.0
148,Accountant,10.0
149,Ace,11.0
150,Ace Merrill,11.0
151,Ace Ventura,10.0
152,Achilles,11.0
153,Act III Communications,11.0
154,AdScott Pictures,11.0
155,Ada Films,11.0
156,Ada McGrath,11.0
157,Ada Monroe,11.0
158,Ada Wong,11.0
159,Adaline Bowman,11.0
160,Adam,10.0
161,"Adam ""Bug"" Hellerman",9.0
162,Adam Alexi-Malle,11.0
163,Adam Arkin,9.0
164,Adam Baldwin,9.0
165,Adam Barnett,11.0
166,Adam Beach,11.0
167,Adam Bennett,11.0
168,Adam Bohling,10.0
169,Adam Bousdoukos,11.0
170,Adam Boyd,9.0
171,Adam Brody,9.0
172,Adam Brooks,11.0
173,Adam Campbell,10.0
174,Adam Carlson,9.0
175,Adam Clayton,11.0
176,Adam Crane,9.0
177,Adam David Thompson,11.0
178,Adam Davies,9.0
179,Adam Devlin,11.0
180,Adam Driver,11.0
181,Adam Duncan,11.0
182,Adam Ewing / Poor Hotel Guest / Megan's Dad / Highlander / Hae-Joo Chang / Adam / Zachry Brother-in-Law,11.0
183,Adam Fields,10.0
184,Adam Flayman,11.0
185,Adam Folk,9.0
186,Adam Franklin,11.0
187,Adam Frawley,11.0
188,Adam G. Sevani,10.0
189,Adam Garcia,9.0
190,Adam Gibson,11.0
191,Adam Goldberg,10.0
192,Adam Greaves-Neal,9.0
193,Adam Herz,10.0
194,Adam J. Braff,10.0
195,Adam Jones,11.0
196,Adam Jr.,9.0
197,Adam Kempton,11.0
198,Adam Kesher,11.0
199,Adam Kolbrenner,11.0
200,Adam Lamberg,11.0
201,Adam Lang,11.0
202,Adam Le,11.0
203,Adam Leavitt,11.0
204,Adam Lerner,11.0
205,Adam Levine,11.0
206,Adam Maitland,11.0
207,Adam Marcus,11.0
208,Adam McKay,10.0
209,Adam Meiks,11.0
210,Adam Merims,9.0
211,Adam Mitchell,11.0
212,Adam Pascal,10.0
213,Adam Rapp,9.0
214,Adam Rifkin,9.0
215,Adam Rodríguez,11.0
216,Adam Rosenberg,11.0
217,Adam Rosenfelt,9.0
218,Adam Sandler,31.0
219,Adam Schaffer,11.0
220,Adam Schroeder,10.0
221,Adam Scott,20.0
222,Adam Sewell,11.0
223,Adam Shankman,9.0
224,Adam Shulman,9.0
225,Adam Siegel,10.0
226,Adam Stubbs,9.0
227,Adam Szyszkowski,11.0
228,Adam Trese,11.0
229,Adam W. Rosen,9.0
230,Adam Webber,11.0
231,Adamson,11.0
232,Addie,11.0
233,Addison,9.0
234,Addison Timlin,11.0
235,Adeel Akhtar,11.0
236,Adela Quested,11.0
237,Adelaide Clemens,11.0
238,Adelaide Kane,11.0
239,Adele,10.0
240,Adele August,9.0
241,Adele Invergordon,9.0
242,Adele Mara,11.0
243,Adele Stanton,9.0
244,Adele Wheeler,11.0
245,Adelynn Beam,11.0
246,Adewale Akinnuoye-Agbaje,11.0
247,Adi,11.0
248,Adi Hasak,10.0
249,Adil Hussain,11.0
250,Adilah Barnes,9.0
251,Aditi,11.0
252,Aditya Chopra,11.0
253,Aditya Roy Kapoor,11.0
254,Aditya Sood,11.0
255,Admiral,9.0
256,Admiral Bratyeev,9.0
257,Admiral Hood,9.0
258,Admiral Husband E. Kimmel,11.0
259,Admiral James Greer,11.0
260,Admiral James T. Kirk,10.0
261,Admiral Jim Sandecker,9.0
262,Admiral Leslie McMahon Reigart,11.0
263,Admiral Pollack,11.0
264,Admiral Tuwey,11.0
265,Admiral/Captain James T. Kirk,11.0
266,Adolf Hitler,11.0
267,Adolfo Celi,11.0
268,Adolfo Martínez Pérez,11.0
269,Adonijah,11.0
270,Adonis Johnson,11.0
271,Adrian Askarieh,11.0
272,Adrian Cronauer,11.0
273,Adrian Doorbal,11.0
274,Adrian Dunbar,10.0
275,Adrian Grenier,11.0
276,Adrian Helmsley,11.0
277,Adrian Lyne,9.0
278,Adrian Paul,9.0
279,Adriana Barraza,11.0
280,Adriana Caselotti,11.0
281,"Adrianna ""Adrian"" Pennino",11.0
282,Adrianne Palicki,11.0
283,Adriano Giannini,9.0
284,Adrien,10.0
285,Adrien Brody,10.0
286,Adrienne Barbeau,10.0
287,Adrienne King,11.0
288,Adrienne Shaw,11.0
289,Adrienne Shelly,11.0
290,Adrik Vas,9.0
291,Adrián Alonso Barona,11.0
292,Adrián Guerra,10.0
293,Adult Bobby Garfield,9.0
294,Adult Joe Wenteworth,9.0
295,Adult Nala (voice),11.0
296,Adult Simba (voice),11.0
297,Adult Trip Fontaine,11.0
298,Aeon Flux,9.0
299,Aeschylus Poulos,9.0
300,Affion Crockett,11.0
301,Agata Kulesza,11.0
302,Agata Trzebuchowska,11.0
303,Agatha,11.0
304,Agatha Rose Doherty,11.0
305,Agatha Sparrow / Fabrizia,11.0
306,Aged 5 Jack,11.0
307,Agent 23,11.0
308,Agent 47,11.0
309,Agent 99,11.0
310,Agent Augustus Gibbons,10.0
311,Agent Boshane,11.0
312,Agent Cooper,11.0
313,Agent Dana Scully,11.0
314,Agent Fox Mulder,11.0
315,Agent Frank Haddad,11.0
316,Agent Frank Pinsky,9.0
317,Agent George Stone/Giuseppe Petri,11.0
318,Agent Horvath,9.0
319,Agent J,11.0
320,Agent J.T. Roberts,11.0
321,Agent Jay,11.0
322,Agent Jennifer Marsh,9.0
323,Agent Jeremiah Ecks,9.0
324,Agent K,10.0
325,Agent Kate Russo,11.0
326,Agent Kyle Steele,11.0
327,Agent Lacey,9.0
328,Agent Linda Perez,9.0
329,Agent Lonnie Hawkins,11.0
330,Agent Lowry,11.0
331,Agent Mosley Drummy,11.0
332,Agent O,11.0
333,Agent Oscar Wallace,11.0
334,Agent Patrick Denham,11.0
335,Agent Pellman,11.0
336,Agent Sever,9.0
337,Agent Sevier,9.0
338,Agent Smith,10.0
339,Agent Strahm,10.0
340,Agent Thornton,9.0
341,Aggie Prenderghast (voice),11.0
342,Agi Orsi,11.0
343,Agnes,11.0
344,Agnes Bruckner,10.0
345,Agnes Stark,11.0
346,Agnes Webb,11.0
347,Agness Adler,11.0
348,Agnieszka Wojtowicz-Vosloo,9.0
349,Agnès Mentre,11.0
350,Agravaine,11.0
351,Agustina,11.0
352,Agustín Díaz Yanes,9.0
353,Agustín Magaldi,11.0
354,Ah Si / Deng Si-Di,9.0
355,Ahkmenrah,11.0
356,Ahmad Abdul Rahim,11.0
357,Ahmad Ibn Fadlān,9.0
358,Ahmad Khan Mahmoodzada,11.0
359,Ahmed Kathrada,9.0
360,Ahney Her,11.0
361,Aibileen Clark,11.0
362,Aidan Bloom,10.0
363,Aidan Gillen,9.0
364,Aidan Keller,11.0
365,Aidan McRory,9.0
366,Aidan Quinn,10.0
367,Aiden,11.0
368,Aiden Lovekamp,11.0
369,Aileen,11.0
370,Aileen Crowley,9.0
371,Aimee Finecky,11.0
372,Aimee Garcia,10.0
373,Aimee Teegarden,11.0
374,Aimée Peyronnet,11.0
375,Ainstee,9.0
376,Airbag EMT Beltran,11.0
377,Aisha al-Fadhil,9.0
378,Aishwarya Rai Bachchan,9.0
379,Aissa,11.0
