,feature,brh_index
0, Larry Mullen Jr.,11.0
1,"""Drugs"" Delaney",11.0
2,"""Hickory"" / The Tin Man",11.0
3,"""Hunk"" / The Scarecrow",11.0
4,"""Whistling"" John Shaw",9.0
5,"""Zeke"" / The Cowardly Lion",11.0
6,'Calamity' Jane Bodine,9.0
7,'Chop-Top' Sawyer,11.0
8,'Groot' Nadine,11.0
9,'Joliet' Jake Blues (as Jake),11.0
10,'Juicy' Judy Gonzalez,11.0
11,'Jumpin' Joe Gastineau,9.0
12,'Mac' George Michale,11.0
13,'Maxim' de Winter,11.0
14,'Milky',11.0
15,'Mooney' Lynn,11.0
16,'Mr. Pappy',11.0
17,'Nails' Kilpatrick,11.0
18,'Ratso' Rizzo,11.0
19,'Reverend' Roy Foltrigg,11.0
20,'Smilin' Jack Johannson,9.0
21,'Sport' Matthew,11.0
22,'Stitch' (voice),11.0
23,(Det) Roland Castlebeck,11.0
24,(voice),11.0
25,1 (voice),11.0
26,1WO,11.0
27,1st Bully,9.0
28,1st Lt. Terence Embry,11.0
29,1st Lt. Tom Pullings,11.0
30,1st Sgt. Edward Welsh,11.0
31,1st Sgt. Milton Warden,11.0
32,2 (voice),11.0
33,2WO,11.0
34,2nd Bully,9.0
35,2nd Lt. Jack Geoghegan,11.0
36,2nd Lt. Ross Pennell,11.0
37,2nd Staff Sergeant Aubrey Stamps,9.0
38,406,11.0
39,5 (voice),11.0
40,50 Cent,9.0
41,6 (voice),11.0
42,7 (voice),11.0
43,A. Kitman Ho,8.0
44,A.C.,9.0
45,A.J.,10.0
46,A.J. 'The Reverend' Shepherd,11.0
47,A.J. Buckley,9.0
48,A.J. Cook,11.0
49,A.J. Dix,10.0
50,A.J. Frost,11.0
51,A.J. MacInerney,11.0
52,A.J. Marley,9.0
53,A.J. Mercker,9.0
54,A.J. Ross,9.0
55,AJ,11.0
56,AJ Cross,11.0
57,ASAC Dakota Whitney,11.0
58,Aaliyah,10.0
59,Aamir Khan,11.0
60,Aang,11.0
61,Aap,11.0
62,Aaran Thomas,11.0
63,Aaron,10.0
64,Aaron Auch,11.0
65,Aaron Boyd,11.0
66,Aaron Cross,11.0
67,Aaron Eckhart,19.0
68,Aaron Embrey,11.0
69,Aaron Green,11.0
70,Aaron Hallam,9.0
71,Aaron Kaufman,10.0
72,Aaron Kwok,11.0
73,Aaron L. Gilbert,11.0
74,Aaron Mazzolini,11.0
75,Aaron Meyerson,9.0
76,Aaron Paul,9.0
77,Aaron Rapaport,9.0
78,Aaron Ruell,11.0
79,Aaron Russo,10.0
80,Aaron Ryder,10.0
81,Aaron Seltzer,9.0
82,Aaron Shuster,11.0
83,Aaron Stanford,10.0
84,Aaron Taylor-Johnson,9.0
85,Aaron Thibadeaux,11.0
86,Aaron Wiseberger,9.0
87,Aaron Wolff,11.0
88,Aaron Yoo,10.0
89,Aasif Mandvi,9.0
90,Abbey,11.0
91,Abbey Lee,9.0
92,Abbie Cornish,10.0
93,Abbie Halpert,11.0
94,Abbie Reynolds,9.0
95,Abby,12.0
96,Abby Beam,11.0
97,Abby Brody,11.0
98,Abby Durrell,9.0
99,Abby Laramie,9.0
100,Abby Mallard (voice),11.0
101,Abby McDeere,11.0
102,Abby Tierney,11.0
103,Abby Yates,11.0
104,Abbé Faria,11.0
105,Abdu-Hamdi,9.0
106,Abdul Salis,9.0
107,Abe,11.0
108,Abe Sapien,11.0
109,Abel Ferrara,9.0
110,Abel Morales,9.0
111,Abel Turner,11.0
112,"Abernathy (segment ""Death Proof"")",9.0
113,Abhishek Bachchan,11.0
114,Abigail,11.0
115,Abigail Bianca,11.0
116,Abigail Breslin,9.0
117,Abigail Chase,11.0
118,Abigail Hargrove,11.0
119,Abigail Salmon,11.0
120,Abigail Whistler,11.0
121,Abishag,11.0
122,Abner Dillon,11.0
123,Abou Fatma,9.0
124,Abraham,11.0
125,Abraham 'Cousin Avi' Denovitz,11.0
126,Abraham Lincoln,10.0
127,Abraham Quintanilla,11.0
128,Abu the Monkey (voice),11.0
129,Abuela Irene,11.0
130,Accountant,10.0
131,Ace,11.0
132,Ace Merrill,11.0
133,Ace Ventura,10.0
134,Achilles,11.0
135,Ada McGrath,11.0
136,Ada Monroe,11.0
137,Ada Wong,11.0
138,Adaline Bowman,11.0
139,Adam,10.0
140,"Adam ""Bug"" Hellerman",9.0
141,Adam Alexi-Malle,11.0
142,Adam Arkin,9.0
143,Adam Baldwin,9.0
144,Adam Barnett,11.0
145,Adam Beach,11.0
146,Adam Bennett,11.0
147,Adam Bohling,10.0
148,Adam Bousdoukos,11.0
149,Adam Boyd,9.0
150,Adam Brody,9.0
151,Adam Brooks,11.0
152,Adam Campbell,10.0
153,Adam Carlson,9.0
154,Adam Clayton,11.0
155,Adam Crane,9.0
156,Adam David Thompson,11.0
157,Adam Davies,9.0
158,Adam Devlin,11.0
159,Adam Driver,11.0
160,Adam Duncan,11.0
161,Adam Ewing / Poor Hotel Guest / Megan's Dad / Highlander / Hae-Joo Chang / Adam / Zachry Brother-in-Law,11.0
162,Adam Fields,10.0
163,Adam Flayman,11.0
164,Adam Folk,9.0
165,Adam Franklin,11.0
166,Adam Frawley,11.0
167,Adam G. Sevani,10.0
168,Adam Garcia,9.0
169,Adam Gibson,11.0
170,Adam Goldberg,10.0
171,Adam Greaves-Neal,9.0
172,Adam Herz,10.0
173,Adam J. Braff,10.0
174,Adam Jones,11.0
175,Adam Jr.,9.0
176,Adam Kempton,11.0
177,Adam Kesher,11.0
178,Adam Kolbrenner,11.0
179,Adam Lamberg,11.0
180,Adam Lang,11.0
181,Adam Le,11.0
182,Adam Leavitt,11.0
183,Adam Lerner,11.0
184,Adam Levine,11.0
185,Adam Maitland,11.0
186,Adam Marcus,11.0
187,Adam McKay,10.0
188,Adam Meiks,11.0
189,Adam Merims,9.0
190,Adam Mitchell,11.0
191,Adam Pascal,10.0
192,Adam Rapp,9.0
193,Adam Rifkin,9.0
194,Adam Rodríguez,11.0
195,Adam Rosenberg,11.0
196,Adam Rosenfelt,9.0
197,Adam Sandler,31.0
198,Adam Schaffer,11.0
199,Adam Schroeder,10.0
200,Adam Scott,20.0
201,Adam Sewell,11.0
202,Adam Shankman,9.0
203,Adam Shulman,9.0
204,Adam Siegel,10.0
205,Adam Stubbs,9.0
206,Adam Szyszkowski,11.0
207,Adam Trese,11.0
208,Adam W. Rosen,9.0
209,Adam Webber,11.0
210,Adamson,11.0
211,Addie,11.0
212,Addison,9.0
213,Addison Timlin,11.0
214,Adeel Akhtar,11.0
215,Adela Quested,11.0
216,Adelaide Clemens,11.0
217,Adelaide Kane,11.0
218,Adele,10.0
219,Adele August,9.0
220,Adele Invergordon,9.0
221,Adele Mara,11.0
222,Adele Stanton,9.0
223,Adele Wheeler,11.0
224,Adelynn Beam,11.0
225,Adewale Akinnuoye-Agbaje,11.0
226,Adi,11.0
227,Adi Hasak,10.0
228,Adil Hussain,11.0
229,Adilah Barnes,9.0
230,Aditi,11.0
231,Aditya Chopra,11.0
232,Aditya Roy Kapoor,11.0
233,Aditya Sood,11.0
234,Admiral,9.0
235,Admiral Bratyeev,9.0
236,Admiral Hood,9.0
237,Admiral Husband E. Kimmel,11.0
238,Admiral James Greer,11.0
239,Admiral James T. Kirk,10.0
240,Admiral Jim Sandecker,9.0
241,Admiral Leslie McMahon Reigart,11.0
242,Admiral Pollack,11.0
243,Admiral Tuwey,11.0
244,Admiral/Captain James T. Kirk,11.0
245,Adolf Hitler,11.0
246,Adolfo Celi,11.0
247,Adolfo Martínez Pérez,11.0
248,Adonijah,11.0
249,Adonis Johnson,11.0
250,Adrian Askarieh,11.0
251,Adrian Cronauer,11.0
252,Adrian Doorbal,11.0
253,Adrian Dunbar,10.0
254,Adrian Grenier,11.0
255,Adrian Helmsley,11.0
256,Adrian Lyne,9.0
257,Adrian Paul,9.0
258,Adriana Barraza,11.0
259,Adriana Caselotti,11.0
260,"Adrianna ""Adrian"" Pennino",11.0
261,Adrianne Palicki,11.0
262,Adriano Giannini,9.0
263,Adrien,10.0
264,Adrien Brody,10.0
265,Adrienne Barbeau,10.0
266,Adrienne King,11.0
267,Adrienne Shaw,11.0
268,Adrienne Shelly,11.0
269,Adrik Vas,9.0
270,Adrián Alonso Barona,11.0
271,Adrián Guerra,10.0
272,Adult Bobby Garfield,9.0
273,Adult Joe Wenteworth,9.0
274,Adult Nala (voice),11.0
275,Adult Simba (voice),11.0
276,Adult Trip Fontaine,11.0
277,Aeon Flux,9.0
278,Aeschylus Poulos,9.0
279,Affion Crockett,11.0
280,Agata Kulesza,11.0
281,Agata Trzebuchowska,11.0
282,Agatha,11.0
283,Agatha Rose Doherty,11.0
284,Agatha Sparrow / Fabrizia,11.0
285,Aged 5 Jack,11.0
286,Agent 23,11.0
287,Agent 47,11.0
288,Agent 99,11.0
289,Agent Augustus Gibbons,10.0
290,Agent Boshane,11.0
291,Agent Cooper,11.0
292,Agent Dana Scully,11.0
293,Agent Fox Mulder,11.0
294,Agent Frank Haddad,11.0
295,Agent Frank Pinsky,9.0
296,Agent George Stone/Giuseppe Petri,11.0
297,Agent Horvath,9.0
298,Agent J,11.0
299,Agent J.T. Roberts,11.0
300,Agent Jay,11.0
301,Agent Jennifer Marsh,9.0
302,Agent Jeremiah Ecks,9.0
303,Agent K,10.0
304,Agent Kate Russo,11.0
305,Agent Kyle Steele,11.0
306,Agent Lacey,9.0
307,Agent Linda Perez,9.0
308,Agent Lonnie Hawkins,11.0
309,Agent Lowry,11.0
310,Agent Mosley Drummy,11.0
311,Agent O,11.0
312,Agent Oscar Wallace,11.0
313,Agent Patrick Denham,11.0
314,Agent Pellman,11.0
315,Agent Sever,9.0
316,Agent Sevier,9.0
317,Agent Smith,10.0
318,Agent Strahm,10.0
319,Agent Thornton,9.0
320,Aggie Prenderghast (voice),11.0
321,Agi Orsi,11.0
322,Agnes,11.0
323,Agnes Bruckner,10.0
324,Agnes Stark,11.0
325,Agnes Webb,11.0
326,Agness Adler,11.0
327,Agnieszka Wojtowicz-Vosloo,9.0
328,Agnès Mentre,11.0
329,Agravaine,11.0
330,Agustina,11.0
331,Agustín Díaz Yanes,9.0
332,Agustín Magaldi,11.0
333,Ah Si / Deng Si-Di,9.0
334,Ahkmenrah,11.0
335,Ahmad Abdul Rahim,11.0
336,Ahmad Ibn Fadlān,9.0
337,Ahmad Khan Mahmoodzada,11.0
338,Ahmed Kathrada,9.0
339,Ahney Her,11.0
340,Aibileen Clark,11.0
341,Aidan Bloom,10.0
342,Aidan Gillen,9.0
343,Aidan Keller,11.0
344,Aidan McRory,9.0
345,Aidan Quinn,10.0
346,Aiden,11.0
347,Aiden Lovekamp,11.0
348,Aileen,11.0
349,Aileen Crowley,9.0
350,Aimee Finecky,11.0
351,Aimee Garcia,10.0
352,Aimee Teegarden,11.0
353,Aimée Peyronnet,11.0
354,Ainstee,9.0
355,Airbag EMT Beltran,11.0
356,Aisha al-Fadhil,9.0
357,Aishwarya Rai Bachchan,9.0
358,Aissa,11.0
359,Aitana Sánchez-Gijón,11.0
360,Aja Naomi King,11.0
361,Ajay,9.0
362,Ajay Naidu,10.0
363,Ajedrez,11.0
364,Ajihad,11.0
365,Ajit Singh,11.0
366,Ajla,9.0
367,Akasha,11.0
368,Akeelah,11.0
369,Aki,11.0
370,Akihiro Miwa,11.0
371,Akiko Takeshita,11.0
372,Akiko Wakabayashi,11.0
373,Akima,9.0
374,Akira Kurosawa,9.0
375,Akiro 'The Wizard',11.0
376,Akiva Goldsman,10.0
377,Akiva Schaffer,10.0
378,Akmed Khazzan,9.0
379,Akosua Busia,11.0
