,feature,weight
0, Larry Mullen Jr.,0.5153894666666666
1,"""Drugs"" Delaney",0.041739285714285715
2,"""Hickory"" / The Tin Man",11.15519157364062
3,"""Hunk"" / The Scarecrow",11.15519157364062
4,"""Whistling"" John Shaw",-0.4877034333333333
5,"""Zeke"" / The Cowardly Lion",11.15519157364062
6,'Calamity' Jane Bodine,-0.74991925
7,'Chop-Top' Sawyer,0.7076323404255319
8,'Groot' Nadine,2.004
9,'Joliet' Jake Blues (as Jake),3.267773703703704
10,'Juicy' Judy Gonzalez,2.520145
11,'Jumpin' Joe Gastineau,-0.750274125
12,'Mac' George Michale,3.2520866648648648
13,'Maxim' de Winter,3.658385093167702
14,'Milky',2.43552268907563
15,'Mooney' Lynn,3.4788524666666665
16,'Mr. Pappy',0.52546590625
17,'Nails' Kilpatrick,1.0414921964217738
18,'Ratso' Rizzo,11.4402925
19,'Reverend' Roy Foltrigg,1.6136713555555555
20,'Smilin' Jack Johannson,-0.750274125
21,'Sport' Matthew,20.74044153846154
22,'Stitch' (voice),0.8221440875
23,(Det) Roland Castlebeck,1.6355811
24,(voice),45.243
25,1 (voice),0.6142687666666666
26,100 Bares,8.036915295454545
27,1492 Pictures,5.148468191538462
28,1818,1.4465256
29,19 Entertainment,-0.5898195
30,1WO,5.071428571428571
31,1st Bully,-0.2533774814814815
32,1st Lt. Terence Embry,0.5186145238095238
33,1st Lt. Tom Pullings,0.41340740666666664
34,1st Sgt. Edward Welsh,0.8870493269230769
35,1st Sgt. Milton Warden,17.484848484848484
36,2 (voice),0.6142687666666666
37,21 Laps Entertainment,1.7418444
38,26 Films,2.1450025333333333
39,2929 Productions,1.2982221653125
40,2WO,5.071428571428571
41,2nd Bully,-0.2533774814814815
42,2nd Lt. Jack Geoghegan,0.5288104533333333
43,2nd Lt. Ross Pennell,2.375
44,2nd Staff Sergeant Aubrey Stamps,-0.7928037111111111
45,3 Arts Entertainment,1.3774833333333334
46,360 Pictures,0.20689655172413793
47,3D Entertainment,0.253146
48,3Mark Entertainment,-0.3256612857142857
49,40 Acres & A Mule Filmworks,0.2799607216666667
50,406,3.3386178813559324
51,5 (voice),0.6142687666666666
52,50 Cent,0.6195762101817291
53,6 (voice),0.6142687666666666
54,7 (voice),0.6142687666666666
55,A Band Apart,0.3598218947368421
56,A Bigger Boat,5.418424782608696
57,A Loopy Production LLC,-0.699446
58,A. Kitman Ho,4.768495689708646
59,A.C.,-0.7018964561403509
60,A.J.,0.31243056770833333
61,A.J. 'The Reverend' Shepherd,1.7299976
62,A.J. Buckley,-0.536
63,A.J. Cook,2.4779386538461536
64,A.J. Dix,3.1902321846153847
65,A.J. Frost,2.9557111857142857
66,A.J. MacInerney,0.7399918709677419
67,A.J. Marley,-0.8352435444444445
68,A.J. Mercker,-0.3800686
69,A.J. Ross,-0.7153709571428571
70,ABC Pictures,-0.14245684210526316
71,AJ,2.1206829
72,AJ Cross,1.3657072
73,ASAC Dakota Whitney,1.2789811333333334
74,AVCO Embassy Pictures,14.912790222222222
75,Aaliyah,1.4704367714285715
76,Aamir Khan,4.228250454545455
77,Aang,1.12335282
78,Aap,2.2933236666666668
79,Aaran Thomas,0.64339768
80,Aardman Animations,2.4238536295302016
81,Aaron,20.775484589855072
82,Aaron Auch,1.07981255
83,Aaron Boyd,2.848267975
84,Aaron Cross,1.1274841384615384
85,Aaron Eckhart,1.346136142751034
86,Aaron Embrey,3.1601958066666667
87,Aaron Green,1.2507414
88,Aaron Hallam,-0.3775634909090909
89,Aaron Kaufman,-0.07152445064102564
90,Aaron Kwok,1.8278165863629727
91,Aaron L. Gilbert,0.8660665882352941
92,Aaron Mazzolini,0.20689655172413793
93,Aaron Meyerson,-0.8099105833333333
94,Aaron Paul,1.4351022864588745
95,Aaron Rapaport,-0.7194856363636364
96,Aaron Ruell,114.2952425
97,Aaron Russo,1.6903084926108374
98,Aaron Ryder,2.1149463220944815
99,Aaron Seltzer,1.8368050386666668
100,Aaron Shuster,2.2411398
101,Aaron Stanford,10.958417099999998
102,Aaron Taylor-Johnson,0.9835381227619047
103,Aaron Thibadeaux,2.2182484242424243
104,Aaron Wiseberger,-0.448893075
105,Aaron Wolff,3.4900477142857143
106,Aaron Yoo,2.848908673544974
107,Aasif Mandvi,0.6835369642440318
108,Abbey,3.2333295
109,Abbey Lee,-0.8095537142857143
110,Abbie Cornish,0.1734720186758443
111,Abbie Halpert,0.10693288461538461
112,Abbie Reynolds,-0.02548912
113,Abby,0.41312147853027176
114,Abby Beam,3.8125
115,Abby Brody,0.7733522586206897
116,Abby Durrell,-0.3775634909090909
117,Abby Laramie,-0.16971185
118,Abby Mallard (voice),1.0962177666666666
119,Abby McDeere,5.434484928571429
120,Abby Tierney,0.0382776
121,Abby Yates,0.5913021458333333
122,Abbé Faria,1.1541442285714285
123,Abdu-Hamdi,-0.9686025714285714
124,Abdul Salis,-0.7033333333333334
125,Abe,59.68
126,Abe Sapien,0.8869183882352941
127,Abel Ferrara,-0.90181408
128,Abel Morales,-0.3996465
129,Abel Turner,0.3820014
130,"Abernathy (segment ""Death Proof"")",-0.6263000447761194
131,Abhishek Bachchan,1.2972972972972974
132,Abigail,2.011677222222222
133,Abigail Bianca,0.1082804
134,Abigail Breslin,3.2488212393074285
135,Abigail Chase,2.47451894
136,Abigail Hargrove,1.659325
137,Abigail Salmon,0.4388551692307692
138,Abigail Whistler,0.9831594769230769
139,Abishag,1.44
140,Abner Dillon,4.195899772209567
141,Abou Fatma,-0.14621014285714284
142,Abraham,3.636887
143,Abraham 'Cousin Avi' Denovitz,7.3557872
144,Abraham Lincoln,1.931157423076923
145,Abraham Quintanilla,2.0
146,Abu the Monkey (voice),17.001793535714285
147,Abuela Irene,5.634363517081223
148,Accountant,-0.61266899
149,Ace,0.77430384
150,Ace Merrill,5.53592675
151,Ace Ventura,6.113672083333333
152,Achilles,1.8423420114285713
153,Act III Communications,0.928613375
154,AdScott Pictures,0.4634835294117647
155,Ada Films,24.6
156,Ada McGrath,15.67142857142857
157,Ada Monroe,1.190044417721519
158,Ada Wong,2.6947577692307694
159,Adaline Bowman,1.62653104
160,Adam,5.544120719064355
161,"Adam ""Bug"" Hellerman",-0.20680172
162,Adam Alexi-Malle,0.0810345
163,Adam Arkin,-0.099052275
164,Adam Baldwin,-0.4352167241758242
165,Adam Barnett,5.550836
166,Adam Beach,0.05265687061055161
167,Adam Bennett,0.4696295
168,Adam Bohling,1.3582321078893933
169,Adam Bousdoukos,2.5745592
170,Adam Boyd,-0.8846226666666667
171,Adam Brody,1.6305397436242675
172,Adam Brooks,1.3398543333333333
173,Adam Campbell,2.38534975
174,Adam Carlson,-0.382019625
175,Adam Clayton,0.5153894666666666
176,Adam Crane,-0.4713307
177,Adam David Thompson,0.8993428571428571
178,Adam Davies,-0.5729836666666667
179,Adam Devlin,1.6348374285714287
180,Adam Driver,0.06318266835016838
181,Adam Duncan,0.20457948
182,Adam Ewing / Poor Hotel Guest / Megan's Dad / Highlander / Hae-Joo Chang / Adam / Zachry Brother-in-Law,0.2792438039215686
183,Adam Fields,-0.6341231666666667
184,Adam Flayman,0.91729718
185,Adam Folk,-0.9488538461538462
186,Adam Franklin,4.9112176
187,Adam Frawley,3.1628685405405403
188,Adam G. Sevani,4.933487396376812
189,Adam Garcia,0.743844661111111
190,Adam Gibson,0.17177410975609755
191,Adam Goldberg,0.7925115766666666
192,Adam Greaves-Neal,-0.6491675135135135
193,Adam Herz,2.0195963636363636
194,Adam J. Braff,-0.0030365454545454545
195,Adam Jones,0.83033715
196,Adam Jr.,-0.12038207142857144
197,Adam Kempton,0.5368920526315789
198,Adam Kesher,0.3411559333333333
199,Adam Kolbrenner,1.6549279782608695
200,Adam Lamberg,2.2667326470588236
201,Adam Lang,0.3382732888888889
202,Adam Le,1.6873534166666666
203,Adam Leavitt,0.2379794
204,Adam Lerner,3.898472875
205,Adam Levine,6.933107625
206,Adam Maitland,3.8884444
207,Adam Marcus,4.312688333333333
208,Adam McKay,2.459133342075018
209,Adam Meiks,0.19185890909090908
210,Adam Merims,-0.509208
211,Adam Mitchell,33.522221
212,Adam Pascal,1.2713534499999999
213,Adam Rapp,-0.9674905714285714
214,Adam Rifkin,-0.3512130769230769
215,Adam Rodríguez,7.2779092567567565
216,Adam Rosenberg,1.78731369
217,Adam Rosenfelt,-0.893391
218,Adam Sandler,2.084548973096071
219,Adam Schaffer,1.5776900588235294
220,Adam Schroeder,6.034318341666666
221,Adam Scott,1.2194304253732873
222,Adam Sewell,61.88209
223,Adam Shankman,2.9418733327345663
224,Adam Shulman,-0.9946248333333333
225,Adam Siegel,2.6833062786885247
226,Adam Stubbs,-0.699446
227,Adam Szyszkowski,3.955355488866659
228,Adam Trese,5.550836
229,Adam W. Rosen,-0.2822857
230,Adam Webber,0.150372
231,Adamson,2.95
232,Addie,2.9423016538461537
233,Addison,-0.99447075
234,Addison Timlin,1.6126852727272727
235,Adeel Akhtar,3.412588380941752
236,Adela Quested,2.398456625
237,Adelaide Clemens,1.6151398
238,Adelaide Kane,28.776209
239,Adele,12.328759898039216
240,Adele August,-0.18897326086956523
241,Adele Invergordon,-0.5067571625
242,Adele Mara,6.8
243,Adele Stanton,-0.4817005833333333
244,Adele Wheeler,0.126434
245,Adelynn Beam,3.8125
246,Adewale Akinnuoye-Agbaje,-0.253332431002331
247,Adi,0.3909314846746666
248,Adi Hasak,-0.036810684523809534
249,Adil Hussain,4.0751380416666665
250,Adilah Barnes,-0.026570533333333334
251,Aditi,4.974025974025974
252,Aditya Chopra,3.197902857142857
253,Aditya Roy Kapoor,4.974025974025974
254,Aditya Sood,7.036545352941176
255,Admiral,-0.2822857
256,Admiral Bratyeev,-0.64831034
257,Admiral Hood,-0.65546152
258,Admiral Husband E. Kimmel,0.15943853247008044
259,Admiral James Greer,5.64
260,Admiral James T. Kirk,5.45
261,Admiral Jim Sandecker,-0.08254241538461539
262,Admiral Leslie McMahon Reigart,1.29383005
263,Admiral Pollack,1.838235294117647
264,Admiral Tuwey,1.1629575573770492
265,Admiral/Captain James T. Kirk,4.541666666666667
266,Adolf Hitler,4.026290434711488
267,Adolfo Celi,24.671937818181817
268,Adolfo Martínez Pérez,2.011677222222222
269,Adonijah,1.44
270,Adonis Johnson,3.691015702702703
271,Adrian Askarieh,3.1652397083333335
272,Adrian Cronauer,8.53249
273,Adrian Doorbal,2.44701164
274,Adrian Dunbar,7.454308686315024
275,Adrian Grenier,1.824176125
276,Adrian Helmsley,2.848267975
277,Adrian Lyne,11.219209158970589
278,Adrian Paul,-0.36625568
279,Adriana Barraza,4.41320728
280,Adriana Caselotti,123.24256142239135
281,"Adrianna ""Adrian"" Pennino",116.235147
282,Adrianne Palicki,1.8605867538461538
283,Adriano Giannini,-0.9401355
284,Adrien,-0.8224167333333334
285,Adrien Brody,1.6782427499480976
286,Adrienne Barbeau,11.0034776875
287,Adrienne King,16.3782208
288,Adrienne Shaw,0.9520208
289,Adrienne Shelly,10.089715
290,Adrik Vas,-0.05746721428571429
291,Adrián Alonso Barona,0.8986675333333334
292,Adrián Guerra,4.301840849407592
293,Adult Bobby Garfield,-0.21981351612903227
294,Adult Joe Wenteworth,-0.08732925
295,Adult Nala (voice),16.516483911111113
296,Adult Simba (voice),16.516483911111113
297,Adult Trip Fontaine,0.7348961666666667
298,Aeon Flux,-0.1563870806451613
299,Aeschylus Poulos,-0.20620084
300,Affion Crockett,0.05823995
301,Agata Kulesza,3.955355488866659
302,Agata Trzebuchowska,3.955355488866659
303,Agatha,2.5134600588235294
304,Agatha Rose Doherty,1.6641825142857143
305,Agatha Sparrow / Fabrizia,1.5855605
306,Aged 5 Jack,0.7085695625
307,Agent 23,1.8835681625
308,Agent 47,3.1652397083333335
309,Agent 99,1.8835681625
310,Agent Augustus Gibbons,1.5740569238095237
311,Agent Boshane,1.9268823333333334
312,Agent Cooper,0.22658462857142858
313,Agent Dana Scully,1.866641106060606
314,Agent Fox Mulder,1.866641106060606
315,Agent Frank Haddad,0.6667558857142857
316,Agent Frank Pinsky,-0.23446565714285714
317,Agent George Stone/Giuseppe Petri,2.05081816
318,Agent Horvath,-0.982068625
319,Agent J,1.7734523377777778
320,Agent J.T. Roberts,0.4419648333333333
321,Agent Jay,2.1558485928571427
322,Agent Jennifer Marsh,-0.07190257142857143
323,Agent Jeremiah Ecks,-0.7153709571428571
324,Agent K,3.661118052222222
325,Agent Kate Russo,1.1798547272727273
326,Agent Kyle Steele,0.18456553333333334
327,Agent Lacey,-0.7194856363636364
328,Agent Linda Perez,-0.23446565714285714
329,Agent Lonnie Hawkins,2.8686585125
330,Agent Lowry,0.8264377866666667
331,Agent Mosley Drummy,1.2789811333333334
332,Agent O,1.7734523377777778
333,Agent Oscar Wallace,2.05081816
334,Agent Patrick Denham,2.92000694
335,Agent Pellman,1.06809932
336,Agent Sever,-0.7153709571428571
337,Agent Sevier,-0.6548732222222222
338,Agent Smith,4.038223841481482
339,Agent Strahm,11.238813733333334
340,Agent Thornton,-0.982068625
341,Aggie Prenderghast (voice),0.78565665
342,Agi Orsi,0.21769230769230768
343,Agnes,3.4210526315789473
344,Agnes Bruckner,-0.20085853000000004
345,Agnes Stark,0.686308724137931
346,Agnes Webb,0.75
347,Agness Adler,1.5776900588235294
348,Agnieszka Wojtowicz-Vosloo,-0.1985788888888889
349,Agnès Mentre,5.550836
350,Agravaine,1.3200079090909091
351,Agustina,5.634363517081223
352,Agustín Díaz Yanes,-0.028251916666666668
353,Agustín Magaldi,1.5644941636363636
354,Ah Si / Deng Si-Di,-0.7461880869565217
355,Ahkmenrah,1.7513722992125984
356,Ahmad Abdul Rahim,0.009236914285714286
357,Ahmad Ibn Fadlān,-0.61438188125
358,Ahmad Khan Mahmoodzada,2.66380235
